roman,sinhala
yepum,යැපුම්
yepiya,යැපිය
yepena,යැපෙන
yemen,යෑමෙන්
yeme,යෑමේ
yemata,යෑමට
yemanaya,යේමනය
yema,යෑම
yedunada,යෙදුනද
yeduna,යෙදුනා
yedumwalin,යෙදුම්වලින්
yedumwala,යෙදුම්වල
yedumen,යෙදුමෙන්
yedume,යෙදුමේ
yeduman,යෙදුමන්
yedumaki,යෙදුමකි
yedumak,යෙදුමක්
yeduma,යෙදුම
yedum,යෙදුම්
yedu,යෙදූ
yediya,යෙදිය
yedini,යෙදිණි
yedina,යෙදින
yedimvala,යෙදීම්වල
yedimen,යෙදීමෙන්
yedima,යෙදීම
yedethi,යෙදෙති
yedenuye,යෙදෙනුයේ
yedenne,යෙදෙන්නේ
yedennata,යෙදෙන්නට
yedenna,යෙදෙන්නා
yedenba,යෙදෙන
yedenawa,යෙදෙනවා
yedeema,යෙදීම
yeddeemata,යෙදීමට
yedawuu,යෙදවූ
yedawum,යෙදවුම්
yedawiya,යෙදවිය
yedawima,යෙදවීම
yedaviya,යෙදවිය
yeast,යීස්ට්
ye,යේ
yayuthuya,යායුතුය
yayi,යයි
yayata,යායට
yayak,යායක්
yaya,යාය
yawweoya,යැව්වෙඔයා
yawunu,යැවුනු
yawiya,යැවිය
yawima,යැවීම
yaweeme,යැවීමේ
yaweema,යැවීම
yawe,යැවේ
yawath,යාවත්
yawasanaya,යවසනය
yawanu,යවනු
yawanneku,යවන්නෙකු
yawanne,යවන්නෙ
yawannaku,යවන්නෙකු
yawanna,යවන්න
yawai,යවයි
yawa,යවා
yavimata,යැවීමට
yavannan,යවන්නන්
yavanna,යවන්න
yavana,යවන
yauwata,යෑව්වට
yauwanodayehi,යෞවනෝදයෙහි
yatthuppajjami,යත්‍ථුප්පජ්ජාමි
yatna,යත්න
yatithalapahasukam,යටිතලපහසුකම්
yatithala,යටිතල
yatipatul,‍යටිපතුල්
yatiopaya,යටිඔපය
yatinuwara,යටිනුවර
yatin,යටින්
yatikuru,යටිකුරු
yatikaha,යටිකහ
yatiathata,යටිඅතට
yatiath,යටිඅත්
yati,‍යටි
yathuya,යුතුය
yathurupadhikaruwanage,යතුරුපැදිකරුවන්ගේ
yathuru,යතුරු
yathukarmayak,යාතුකර්මයක්
yathu,යාතු
yaththa,යත්‍ථ
yathrika,යාත්‍රික
yathrawak,යාත්‍රාවක්
yathrawa,යාත්‍රාව
yathoktha,යථොක්ත
yathna,යත්න
yathma,යත්ම
yatharthayak,යථාර්තයක්
yatharthaya,යථාර්ථය
yathartha,යථාර්ථ
yathanubhoothawadaya,යාථානුභුතවාදය
vibhagaya,විභාගය
katayuthu,කටයුතු
men,මෙන්
mage,මගේ
ohuge,ඔහුගේ
gatha,ගත
weyi,වෙයි
sita,සිට
sidu,සිදු
eka,එක
netha,නැත
path,පත්
siti,සිටි
wanne,වන්නේ
laba,ලබා
weni,වැනි
ne,නෑ
mese,මෙසේ
wuye,වූයේ
wada,වඩා
boho,බොහෝ
geneemata,ගැනීමට
itha,ඉතා
Aya,ඇය
dAn,දැන්
shrii,ශ්‍රී
mehi,මෙහි
k,ක්
nethi,නැති
ese,එසේ
nehe,නැහැ
thawath,තවත්
thibee,තිබේ
oba,ඔබ
apee,අපේ
bawata,බවට
wAdi,වැඩි
pamanak,පමණක්
yam,යම්
samanga,සමඟ
gath,ගත්
matha,මත
Aththe,ඇත්තේ
wAda,වැඩ
Aa,ඈ
ohuta,ඔහුට
meya,මෙය
see,සේ
kathaa,කතා
namuth,නමුත්
iita,ඊට
pera,පෙර
sandahan,සඳහන්
apata,අපට
wahansee,වහන්සේ
kalee,කළේ
karanna,කරන්න
bawath,බවත්
thama,තමා
karayi,කරයි
kiyaa,කියා
giya,ගිය
mahaa,මහා
wetha,වෙත
geneema,ගැනීම
pamana,පමණ
sinhala,සිංහල
weema,වීම
awashya,අවශ්‍ය
gos,ගොස්
karanu,කරනු
siya,සිය
ewa,ඒවා
ada,අද
yanna,යන්න
samaga,සමග
sitina,සිටින
yayi,යයි
wenas,වෙනස්
nowe,නොවේ
ege,ඇගේ
magin,මගින්
pradhana,ප්‍රධාන
pilibandawa,පිළිබඳව
bala,බලා
karamin,කරමින්
idiripath,ඉදිරිපත්
kiyala,කියල
dakwa,දක්වා
gaman,ගමන්
samaja,සමාජ
wishala,විශාල
jathika,ජාතික
nowa,නොව
maha,මහ
gannaa,ගන්නා
wiwidha,විවිධ
siyalu,සියලු
karanne,කරන්නේ
yAyi,යැයි
ethem,ඇතැම්
yanu,යනු
aya,අය
kiriime,කිරීමේ
eka,ඒක
labana,ලබන
tharam,තරම්
owunge,ඔවුන්ගේ
ena,එන
nawa,නව
lebe,ලැබේ
wenath,වෙනත්
kiyana,කියන
kiyala,කියලා
hema,හැම
honda,හොඳ
pinisa,පිණිස
yuthuya,යුතුය
deyak,දෙයක්
noheki,නොහැකි
desa,දෙස
patan,පටන්
kerehi,කෙරෙහි
dhina,දින
dhena,දෙන
adahas,අදහස්
kala,කළා
dee,දේ
sahitha,සහිත
wishesha,විශේෂ
kuda,කුඩා
wedagath,වැදගත්
thibu,තිබූ
hari,හරි
hekiya,හැකිය
ayath,අයත්
wela,වෙලා
ethulu,ඇතුළු
kese,කෙසේ
prakasha,ප්‍රකාශ
thaman,තමන්
wage,වගේ
daknata,දක්නට
paridi,පරිදි
deshapalana,දේශපාලන
karunu,කරුණු
kee,කී
pehedili,පැහැදිලි
chanda,ඡන්ද
pawa,පවා
wu,වු
thawa,තව
owuhu,ඔවුහු
newatha,නැවත
sitha,සිත
kriya,ක්‍රියා
samahara,සමහර
thibena,තිබෙන
thamayi,තමයි
bauddha,බෞද්ධ
kele,කෙළේ
mul,මුල්
mudal,මුදල්
dedi,දැඩි
weemata,වීමට
kriyathmaka,ක්‍රියාත්මක
arambha,ආරම්භ
yomu,යොමු
dena,දැන
kalaya,කාලය
hethu,හේතු
ekak,එකක්
awurudu,අවුරුදු
muhuna,මුහුණ
AthAyi,ඇතැයි
lankaawee,ලංකාවේ
lankaa,ලංකා
dekak,දෙකක්
pasuwa,පසුව
adu,අඩු
in,ඉන්
ratee,රටේ
sema,සෑම
ganna,ගන්න
yatathe,යටතේ
rata,රට
wenuwen,වෙනුවෙන්
sitiye,සිටියේ
katha,කථා
kaleya,කළේය
soyaa,සොයා
deka,දෙක
wuha,වූහ
sambandhha,සම්බන්ධ
enam,එනම්
janathawa,ජනතාව
pawathina,පවතින
kolambha,කොළඹ
eth,ඒත්
yodhaa,යොදා
thabaa,තබා
raajya,රාජ්‍ය
jana,ජන
giyee,ගියේ
wena,වෙන
nowana,නොවන
wuwa,වුව
bAwin,බැවින්
obata,ඔබට
mahath,මහත්
ladii,ලදී
ida,ඉඩ
pAmina,පැමිණ
diya,දිය
puluwan,පුළුවන්
jeewithaya,ජීවිතය
rupiyal,රුපියල්
wisthara,විස්තර
gaththee,ගත්තේ
e,එ
thorathuru,තොරතුරු
pahaLa,පහළ
wadaath,වඩාත්
hAra,හැර
pita,පිට
ehema,එහෙම
ewAni,එවැනි
nidahas,නිදහස්
menma,මෙන්ම
podhu,පොදු
kisi,කිසි
ta,ට
a,ආ
wasara,වසර
atha,අත
budhu,බුදු
pArani,පැරණි
eya,එයා
thaththwaya,තත්ත්වය
ihala,ඉහළ
karannata,කරන්නට
thAna,තැන
inna,ඉන්න
eyin,එයින්
anek,අනෙක්
pAmini,පැමිණි
walin,වලින්
kramaya,ක්‍රමය
lAbena,ලැබෙන
thulin,තුළින්
jiiwath,ජීවත්
gedara,ගෙදර
kala,කල
pradeshiiya,ප්‍රාදේශීය
karagena,කරගෙන
balaya,බලය
ekka,එක්ක
adii,ආදී
miita,මීට
himi,හිමි
gal,ගල්
sakas,සකස්
kumak,කුමක්
muLu,මුළු
prashna,ප්‍රශ්න
wuwath,වුවත්
pAwathi,පැවති
pasugiya,පසුගිය
kalaha,කළහ
wenna,වෙන්න
loku,ලොකු
walata,වලට
athin,අතින්
awasan,අවසන්
ladhdhe,ලද්දේ
sambandhayen,සම්බන්ධයෙන්
wunaa,වුණා
oya,ඔය
eksath,එක්සත්
owunta,ඔවුන්ට
lAbu,ලැබූ
sewa,සේවා
siyalla,සියල්ල
aahaara,ආහාර
mulika,මූලික
usas,උසස්
arthhika,ආර්ථික
wenawaa,වෙනවා
raju,රජු
raja,රජ
keree,කෙරේ
dun,දුන්
wath,වත්
pihiti,පිහිටි
pradeshaye,ප්‍රදේශයේ
eyata,එයට
eyata,ඇයට
sakachcha,සාකච්ඡා
goda,ගොඩ
kireemen,කිරීමෙන්
pamani,පමණි
minisun,මිනිසුන්
palamu,පළමු
wachana,වචන
dhama,දමා
ekama,එකම
wen,වෙන්
pura,පුරා
bawayi,බවයි
kata,කට
paLath,පළාත්
lekam,ලේකම්
karanawa,කරනවා
kiiwee,කීවේ
wala,වල
thamangee,තමන්ගේ
thiiranaya,තීරණය
onee,ඕනෑ
mathu,මතු
sith,සිත්
penee,පෙනේ
samaajaya,සමාජය
nirmaNaya,නිර්මාණය
batahira,බටහිර
kenek,කෙනෙක්
ka,ක
epaa,එපා
tharuna,තරුණ
rajayee,රජයේ
paalanaya,පාලනය
hisa,හිස
ewita,එවිට
daa,දා
pala,පළ
iwath,ඉවත්
hewath,හෙවත්
kalayee,කාලයේ
dhharma,ධර්ම
ha,හ
karathi,කරති
giyaa,ගියා
punchi,පුංචි
penwaa,පෙන්වා
adaala,අදාළ
denata,දැනට
polis,පොලිස්
yanuwen,යනුවෙන්
yuthuyi,යුතුයි
rajaya,රජය
wethi,වෙති
aluth,අලුත්
saamaanya,සාමාන්‍ය
thibunee,තිබුණේ
seewaya,සේවය
lakShaNa,ලක්ෂණ
ath,අත්
mewAni,මෙවැනි
budhun,බුදුන්
eda,එදාS
uthsaha,උත්සාහ
namAthi,නමැති
aapasu,ආපසු
ow,ඔව්
ithin,ඉතින්
waasaya,වාසය
tika,ටික
samaana,සමාන
kaalayak,කාලයක්
niyama,නියම
itu,ඉටු
wardhanaya,වර්ධනය
sanwardhhana,සංවර්ධන
mila,මිල
namin,නමින්
kotas,කොටස්
winaasha,විනාශ
kAmathi,කැමති
thamaage,තමාගේ
illaa,ඉල්ලා
sanwidhhanaya,සංවිධානය
athata,අතට
dAka,දැක
ihatha,ඉහත
suLu,සුළු
piLithuru,පිළිතුරු
paasal,පාසල්
pawathii,පවතී
thibuNi,තිබුණි
dhakuNu,දකුණු
wishwaasa,විශ්වාස
mehidii,මෙහිදී
theerum,තේරුම්
diyunu,දියුණු
adhhyapana,අධ්‍යාපන
samuuha,සමූහ
karaa,කරා
daruwan,දරුවන්
kisiyam,කිසියම්
aadhiya,ආදිය
pirisak,පිරිසක්
bala,බල
Ayi,ඇයි
warthaa,වාර්තා
diimata,දීමට
kalpanaa,කල්පනා
denna,දෙන්න
pahatha,පහත
keewa,කීවා
ethulath,ඇතුළත්
kisima,කිසිම
sabha,සභා
ekathu,එකතු
bhagyawathun,භාග්‍යවතුන්
jalaya,ජලය
kiyamin,කියමින්
agamika,ආගමික
thiyenawa,තියෙනවා
mal,මල්
penii,පෙනී
kalin,කලින්
kiiya,කීය
krama,ක්‍රම
wanu,වනු
ara,අර
meda,මැද
heyin,හෙයින්
janayaa,ජනයා
wisheshayen,විශේෂයෙන්
geneeme,ගැනීමේ
niithi,නීති
kiyannee,කියන්නේ
kiyayi,කියයි
mahaNeni,මහණෙනි
bawadha,බවද
dhuk,දුක්
thibini,තිබිණි
nomAthi,නොමැති
gaththaa,ගත්තා
apage,අපගේ
pAwAthi,පැවැති
kisidhu,කිසිදු
rupa,රූප
kisiwak,කිසිවක්
ammaa,අම්මා
diima,දීම
hethuwa,හේතුව
hata,හට
anik,අනික්
dhutu,දුටු
paudgalika,පෞද්ගලික
gaNan,ගණන්
awabodha,අවබෝධ
guwan,ගුවන්
hondzin,හොඳින්
idiriyata,ඉදිරියට
oya,ඔයා
thek,තෙක්
eheyin,එහෙයින්
akaraya,ආකාරය
yali,යළි
kerena,කෙරෙන
salakaa,සලකා
dewiyan,දෙවියන්
thibeni,තිබෙන
thiyena,තියෙන
bhhaanda,භාණ්ඩ
yahapath,යහපත්
axka,අංක
mAthiwarana,මැතිවරණ
shakthiya,ශක්තිය
yuththe,යුත්තේ
bawak,බවක්
minisaa,මිනිසා
poth,පොත්
prathhama,ප්‍රථම
awadhhanaya,අවධානය
wemin,වෙමින්
lak,ලක්
janatha,ජනතා
loka,ලෝක
beri,බැරි
idam,ඉඩම්
minissu,මිනිස්සු
madhyama,මධ්‍යම
wenuwata,වෙනුවට
balaporoththu,බලාපොරොත්තු
kema,කෑම
hAtiyata,හැටියට
maanawa,මානව
awasaana,අවසාන
umbha,උඹ
eseema,එසේම
hadxa,හඬ
yaamata,යාමට
bas,බස්
uthuru,උතුරු
kal,කල්
passe,පස්සෙ
dhemala,දෙමළ
anathuruwa,අනතුරුව
As,ඇස්
yata,යට
dhesata,දෙසට
gen,ගෙන්
dAyi,දැයි
dharmaya,ධර්මය
dewal,දේවල්
sahithya,සාහිත්‍ය
adi,ආදි
sanskruthika,සංස්කෘතික
naayaka,නායක
obee,ඔබේ
yaa,යා
yaLith,යළිත්
bima,බිම
sahabhagi,සහභාගි
yojana,යෝජනා
lokayee,ලෝකයේ

