noisy,correct
ශ්රී,ශ්‍රී
අධ්යයනය,අධ්‍යයනය
සන්වර්ධනය,සංවර්ධනය
සන්ස්කෘතිය,සංස්කෘතිය
සම්බන්ධ,සම්බන්ධ
සබන්ධ,සම්බන්ධ
අධ්යාපන,අධ්‍යාපන
මහත්මය,මහත්මයා
ගුරුවරය,ගුරුවරයා
විද්‍යාලය්,විද්‍යාලය
විද්‍යල,විද්‍යාල
අමාත්ය,අමාත්‍ය
ජාතිකක,ජාතික
ජනතාවා,ජනතාව
ආර්ථිකය්,ආර්ථිකය
පරිගණකය්,පරිගණකය
තාක්ෂණය්,තාක්ෂණය
කාර්යාලය්,කාර්යාලය
රෝහල්,රෝහල
වෛද්‍යවරය,වෛද්‍යවරයා
රජය්,රජය
පුරවැසිය,පුරවැසියා
පොලිසිය්,පොලිසිය
ගොවිය,ගොවියා
කර්මාන්තය්,කර්මාන්තය
ව්‍යාපාරය්,ව්‍යාපාරය
අමාත්‍යාංශය්,අමාත්‍යාංශය
දෙපාර්තමේන්තුව්,දෙපාර්තමේන්තුව
සභාපතිය,සභාපති
නිලධාරිය,නිලධාරියා
උත්සවය්,උත්සවය
සම්මන්ත්‍රණය්,සම්මන්ත්‍රණය
පුස්තකල,පුස්තකාල
ග්‍රන්ථාලය්,ග්‍රන්ථාලය
සිසුව,සිසුවා
ශිෂ්‍යය,ශිෂ්‍යයා
ගුරුවරිය,ගුරුවරිය
පන්තිය්,පන්තිය
විභාගය්,විභාගය
ප්‍රතිඵලය්,ප්‍රතිඵලය
විෂයය්,විෂයය
පාඩම,පාඩම
පොතහ,පොත
කතාව්,කතාව
කවිය්,කවිය
භාෂාව්,භාෂාව
වචනය්,වචනය
අකුර්,අකුර
ලිවීම,ලිවීම
කියවීම,කියවීම
සිතීම,සිතීම
දැනුම,දැනුම
අත්දැකීම,අත්දැකීම
සතුට,සතුට
දුක,දුක
ආදරය්,ආදරය
මිත්‍රයා,මිතුරා
සහෝදරය,සහෝදරයා
සහෝදරිය,සහෝදරිය
දුවා,දුව
පුතාා,පුතා
අම්ම,අම්මා
තාත්ත,තාත්තා
නංගිය,නංගි
මල්ලිය,මල්ලි
අක්ක,අක්කා
අයිය,අයියා
ගම,ගම
ගමා,ගම
නගරය්,නගරය
මාර්ගය්,මාර්ගය
බස්ස,බස්
දුම්රිය්,දුම්රිය
ගුවන්තොටුපල,ගුවන්තොටුපළ
වෙළඳසැල,වෙළඳසැල
කඩේෙ,කඩේ
බැංකුව්,බැංකුව
මුදල්ල්,මුදල්
ගිණුම,ගිණුම
වැටුප,වැටුප
ඉතිරිකිරීම,ඉතිරිකිරීම
ආයෝජනය,ආයෝජනය
විදුලිය්,විදුලිය
ජලය්,ජලය
පරිසරය්,පරිසරය
සොබාව,සොබාව
කාලගුණය්,කාලගුණය
වැස්සස,වැස්ස
සුළග,සුළඟ
ගස,ගස
මල,මල
පලතුර්,පලතුර
එළවළු,එළවළු
සත්වය්,සත්වය
කුරුල්ල්,කුරුල්ලා
මාළුව්,මාළුවා
අද,අද
අදා,අද
හෙටා,හෙට
ඊයෙ,ඊයේ
දවසා,දවස
සතියා,සතිය
මාසය්,මාසය
වසරා,වසර
කාලය්,කාලය
උදේෙ,උදේ
දවාල,දවල්
රාත්‍රිය්,රාත්‍රිය
උදාව්,උදාව
හවසා,හවස
පෙරවරුව,පෙරවරුව
පස්වරුව්,පස්වරුව
නිවසා,නිවස
නිවසා,නිවස
ගේදර,ගෙදර
ගෙදරා,ගෙදර
කාමරය්,කාමරය
ජනේලය්,ජනේලය
දොරා,දොර
වහලය්,වහලය
බිත්තිය්,බිත්තිය
මේසය්,මේසය
පුටුව්,පුටුව
ඇද,ඇඳ
කුස්සිය්,කුස්සිය
නානකාමරය්,නානකාමරය
කෑමා,කෑම
බත්ත්,බත්
කිරී,කිරි
පානා,පාන
වතුරා,වතුර
තේෙ,තේ
කෝපියා,කෝපි
කෙසෙල්ල්,කෙසෙල්
අඹා,අඹ
දොඩම්ම්,දොඩම්
පේරාා,පේර
අන්නාසිි,අන්නාසි
පලතුරා,පලතුර
එළවළු,එළවළු
ගෝවාා,ගෝවා
බෝංචීි,බෝංචි
ලූණුු,ලූනු
අලල්,අල
ගසා,ගස
කොළා,කොළ
මලා,මල
මල්ල්,මල්
වැල්ල්,වැල්
පොළොව,පොළොව
ගගන,ගගන
අහසා,අහස
සඳා,සඳ
තරුව්,තරුව
මුහුදා,මුහුද
ගංගාව්,ගංගාව
වැවව්,වැව
ඔයය,ඔය
කඳුව්,කඳුව
පාසලා,පාසල
විදුහල්,විදුහල
ශිෂ්‍යයාා,ශිෂ්‍යයා
ගුරුවරයාා,ගුරුවරයා
පංතිය,පන්තිය
විභාගය්,විභාගය
ප්‍රශ්නය්,ප්‍රශ්නය
පිළිතුරා,පිළිතුර
ලකුණුු,ලකුණු
සමත්ථ,සමත්
අසමත්ථ,අසමත්
රෝහල්,රෝහල
වෛද්‍යයාා,වෛද්‍යයා
හෙදිය්,හෙදිය
බෙහෙත්ථ,බෙහෙත්
රෝගියාා,රෝගියා
ඖෂධය්,ඖෂධය
උණා,උණ
හිසරදය්,හිසරදය
ව්‍යාපාරයා,ව්‍යාපාරය
වෙළඳාම,වෙළඳාම
කඩේෙ,කඩේ
බැංකුව්,බැංකුව
මුදල්ල්,මුදල්
ගිණුමා,ගිණුම
ඉතිරිය්,ඉතිරිය
වැටුපා,වැටුප
රැකියාව්,රැකියාව
සේවකයාා,සේවකයා
කාර්යාලය්,කාර්යාලය
අධ්‍යක්ෂකා,අධ්‍යක්ෂක
සමාගම,සමාගම
කර්මාන්තය්,කර්මාන්තය
අමමා,අම්මා
ගදෙර,ගෙදර
කොහමොද,කොහොමද
තාත්තා,තාත්තා
සමනා,සමන්
පාසලා,පාසල
ගුරුවරයා,ගුරුවරයා
විභගාය,විභාගය
ප්‍රශ්නය,ප්‍රශ්නය
කර්මානත්ය,කර්මාන්තය
